文件名,YS,PV,组号,序号
YS_4.493_PV_0.142\4.493_0.142_0_0.png,4.493,0.142,0,0
YS_4.493_PV_0.142\4.493_0.142_0_1.png,4.493,0.142,0,1
YS_4.493_PV_0.142\4.493_0.142_0_2.png,4.493,0.142,0,2
YS_4.493_PV_0.142\4.493_0.142_0_3.png,4.493,0.142,0,3
YS_4.493_PV_0.142\4.493_0.142_0_4.png,4.493,0.142,0,4
YS_4.493_PV_0.142\4.493_0.142_0_5.png,4.493,0.142,0,5
YS_4.493_PV_0.142\4.493_0.142_0_6.png,4.493,0.142,0,6
YS_4.493_PV_0.142\4.493_0.142_0_7.png,4.493,0.142,0,7
YS_4.493_PV_0.142\4.493_0.142_0_8.png,4.493,0.142,0,8
YS_4.493_PV_0.142\4.493_0.142_1_0.png,4.493,0.142,1,0
YS_4.493_PV_0.142\4.493_0.142_1_1.png,4.493,0.142,1,1
YS_4.493_PV_0.142\4.493_0.142_1_2.png,4.493,0.142,1,2
YS_4.493_PV_0.142\4.493_0.142_1_3.png,4.493,0.142,1,3
YS_4.493_PV_0.142\4.493_0.142_1_4.png,4.493,0.142,1,4
YS_4.493_PV_0.142\4.493_0.142_1_5.png,4.493,0.142,1,5
YS_4.493_PV_0.142\4.493_0.142_1_6.png,4.493,0.142,1,6
YS_4.493_PV_0.142\4.493_0.142_1_7.png,4.493,0.142,1,7
YS_4.493_PV_0.142\4.493_0.142_1_8.png,4.493,0.142,1,8
YS_4.493_PV_0.142\4.493_0.142_2_0.png,4.493,0.142,2,0
YS_4.493_PV_0.142\4.493_0.142_2_1.png,4.493,0.142,2,1
YS_4.493_PV_0.142\4.493_0.142_2_2.png,4.493,0.142,2,2
YS_4.493_PV_0.142\4.493_0.142_2_3.png,4.493,0.142,2,3
YS_4.493_PV_0.142\4.493_0.142_2_4.png,4.493,0.142,2,4
YS_4.493_PV_0.142\4.493_0.142_2_5.png,4.493,0.142,2,5
YS_4.493_PV_0.142\4.493_0.142_2_6.png,4.493,0.142,2,6
YS_4.493_PV_0.142\4.493_0.142_2_7.png,4.493,0.142,2,7
YS_4.493_PV_0.142\4.493_0.142_2_8.png,4.493,0.142,2,8
YS_4.493_PV_0.142\4.493_0.142_3_0.png,4.493,0.142,3,0
YS_4.493_PV_0.142\4.493_0.142_3_1.png,4.493,0.142,3,1
YS_4.493_PV_0.142\4.493_0.142_3_2.png,4.493,0.142,3,2
YS_4.493_PV_0.142\4.493_0.142_3_3.png,4.493,0.142,3,3
YS_4.493_PV_0.142\4.493_0.142_3_4.png,4.493,0.142,3,4
YS_4.493_PV_0.142\4.493_0.142_3_5.png,4.493,0.142,3,5
YS_4.493_PV_0.142\4.493_0.142_3_6.png,4.493,0.142,3,6
YS_4.493_PV_0.142\4.493_0.142_3_7.png,4.493,0.142,3,7
YS_4.493_PV_0.142\4.493_0.142_3_8.png,4.493,0.142,3,8
YS_4.493_PV_0.142\4.493_0.142_4_0.png,4.493,0.142,4,0
YS_4.493_PV_0.142\4.493_0.142_4_1.png,4.493,0.142,4,1
YS_4.493_PV_0.142\4.493_0.142_4_2.png,4.493,0.142,4,2
YS_4.493_PV_0.142\4.493_0.142_4_3.png,4.493,0.142,4,3
YS_4.493_PV_0.142\4.493_0.142_4_4.png,4.493,0.142,4,4
YS_4.493_PV_0.142\4.493_0.142_4_5.png,4.493,0.142,4,5
YS_4.493_PV_0.142\4.493_0.142_4_6.png,4.493,0.142,4,6
YS_4.493_PV_0.142\4.493_0.142_4_7.png,4.493,0.142,4,7
YS_4.493_PV_0.142\4.493_0.142_4_8.png,4.493,0.142,4,8
YS_4.493_PV_0.142\4.493_0.142_5_0.png,4.493,0.142,5,0
YS_4.493_PV_0.142\4.493_0.142_5_1.png,4.493,0.142,5,1
YS_4.493_PV_0.142\4.493_0.142_5_2.png,4.493,0.142,5,2
YS_4.493_PV_0.142\4.493_0.142_5_3.png,4.493,0.142,5,3
YS_4.493_PV_0.142\4.493_0.142_5_4.png,4.493,0.142,5,4
YS_4.493_PV_0.142\4.493_0.142_5_5.png,4.493,0.142,5,5
YS_4.493_PV_0.142\4.493_0.142_5_6.png,4.493,0.142,5,6
YS_4.493_PV_0.142\4.493_0.142_5_7.png,4.493,0.142,5,7
YS_4.493_PV_0.142\4.493_0.142_5_8.png,4.493,0.142,5,8
YS_4.493_PV_0.142\4.493_0.142_6_0.png,4.493,0.142,6,0
YS_4.493_PV_0.142\4.493_0.142_6_1.png,4.493,0.142,6,1
YS_4.493_PV_0.142\4.493_0.142_6_2.png,4.493,0.142,6,2
YS_4.493_PV_0.142\4.493_0.142_6_3.png,4.493,0.142,6,3
YS_4.493_PV_0.142\4.493_0.142_6_4.png,4.493,0.142,6,4
YS_4.493_PV_0.142\4.493_0.142_6_5.png,4.493,0.142,6,5
YS_4.493_PV_0.142\4.493_0.142_6_6.png,4.493,0.142,6,6
YS_4.493_PV_0.142\4.493_0.142_6_7.png,4.493,0.142,6,7
YS_4.493_PV_0.142\4.493_0.142_6_8.png,4.493,0.142,6,8
YS_4.493_PV_0.142\4.493_0.142_7_0.png,4.493,0.142,7,0
YS_4.493_PV_0.142\4.493_0.142_7_1.png,4.493,0.142,7,1
YS_4.493_PV_0.142\4.493_0.142_7_2.png,4.493,0.142,7,2
YS_4.493_PV_0.142\4.493_0.142_7_3.png,4.493,0.142,7,3
YS_4.493_PV_0.142\4.493_0.142_7_4.png,4.493,0.142,7,4
YS_4.493_PV_0.142\4.493_0.142_7_5.png,4.493,0.142,7,5
YS_4.493_PV_0.142\4.493_0.142_7_6.png,4.493,0.142,7,6
YS_4.493_PV_0.142\4.493_0.142_7_7.png,4.493,0.142,7,7
YS_4.493_PV_0.142\4.493_0.142_7_8.png,4.493,0.142,7,8
YS_4.493_PV_0.142\4.493_0.142_8_0.png,4.493,0.142,8,0
YS_4.493_PV_0.142\4.493_0.142_8_1.png,4.493,0.142,8,1
YS_4.493_PV_0.142\4.493_0.142_8_2.png,4.493,0.142,8,2
YS_4.493_PV_0.142\4.493_0.142_8_3.png,4.493,0.142,8,3
YS_4.493_PV_0.142\4.493_0.142_8_4.png,4.493,0.142,8,4
YS_4.493_PV_0.142\4.493_0.142_8_5.png,4.493,0.142,8,5
YS_4.493_PV_0.142\4.493_0.142_8_6.png,4.493,0.142,8,6
YS_4.493_PV_0.142\4.493_0.142_8_7.png,4.493,0.142,8,7
YS_4.493_PV_0.142\4.493_0.142_8_8.png,4.493,0.142,8,8
YS_4.493_PV_0.142\4.493_0.142_9_0.png,4.493,0.142,9,0
YS_4.493_PV_0.142\4.493_0.142_9_1.png,4.493,0.142,9,1
YS_4.493_PV_0.142\4.493_0.142_9_2.png,4.493,0.142,9,2
YS_4.493_PV_0.142\4.493_0.142_9_3.png,4.493,0.142,9,3
YS_4.493_PV_0.142\4.493_0.142_9_4.png,4.493,0.142,9,4
YS_4.493_PV_0.142\4.493_0.142_9_5.png,4.493,0.142,9,5
YS_4.493_PV_0.142\4.493_0.142_9_6.png,4.493,0.142,9,6
YS_4.493_PV_0.142\4.493_0.142_9_7.png,4.493,0.142,9,7
YS_4.493_PV_0.142\4.493_0.142_9_8.png,4.493,0.142,9,8
